tier,session,h,block,n,vol,w_eff,w_real,w_impact
101-1000,midday,1s,155,78030,7089884.0,62479144.32242073,-37701409.321055636,100180553.64347635
101-1000,midday,1s,156,62982,5174194.0,57511402.11930697,-21274685.66877911,78786087.78808609
101-1000,midday,1s,157,56702,4792467.0,57795332.73892284,-34054927.47871259,91850260.21763541
101-1000,midday,1s,158,55152,4790243.0,59893024.44674951,-27805869.941909768,87698894.38865927
101-1000,midday,1s,159,55149,4661654.0,61349977.84210308,-31983359.395164393,93333337.2372675
101-1000,midday,1s,160,45459,3840957.0,55316081.036559686,-41320682.03317191,96636763.0697316
101-1000,midday,1s,161,52091,4381750.0,58993081.37426172,-24627324.793688957,83620406.16795066
101-1000,midday,1s,162,54509,5116129.0,106673960.3738507,-27905519.21239033,134579479.586241
101-1000,midday,1s,163,53790,4880944.0,58780511.99346054,-25342723.33786132,84123235.33132185
101-1000,midday,1s,164,46887,3961122.0,45721526.19472399,-10480535.723075945,56202061.91779994
101-1000,midday,1s,165,44942,3871526.0,46994910.84742858,-18889374.457798254,65884285.30522684
101-1000,midday,1s,166,47211,3875145.0,49005076.03905271,-13106786.590801703,62111862.62985442
101-1000,midday,1s,167,63313,5578822.0,64857745.49345955,-34712451.35649333,99570196.84995288
101-1000,midday,1s,168,62597,5505926.0,65104379.54636595,-61174867.03665927,126279246.58302523
101-1000,midday,1s,169,51654,4147218.0,45067136.71884257,-24985552.738270313,70052689.45711288
101-1000,midday,1s,170,51122,4027898.0,46665799.85246223,-27542366.776698843,74208166.6291611
101-1000,midday,1s,171,50794,4106277.0,56913039.99945003,-29943674.314269636,86856714.31371966
101-1000,midday,1s,172,51299,4046744.0,41686722.23663371,-22618958.84665915,64305681.08329285
101-1000,midday,1s,173,47317,3906093.0,39634460.30803949,-14627746.521237561,54262206.82927707
101-1000,midday,1s,174,50327,3837403.0,36398553.86926369,-17248038.75538964,53646592.62465334
101-1000,midday,1s,175,46174,3636568.0,36540883.06558204,-15106882.992772834,51647766.05835487
101-1000,midday,1s,176,49453,4538534.0,51149152.74050342,-22508539.217278197,73657691.95778164
101-1000,midday,1s,177,51503,4811277.0,57657738.159069784,-19328950.3161383,76986688.47520809
101-1000,midday,1s,178,46984,3860983.0,34865021.38049171,-17262463.202574056,52127484.58306574
101-1000,midday,1s,179,54929,4912802.0,60877332.922683954,-25810932.66404222,86688265.58672617
101-1000,midday,1s,180,60144,5262324.0,64342406.73858328,-13306926.336253362,77649333.07483664
101-1000,midday,1s,181,64253,5463735.0,58882293.02320027,-27794200.36489823,86676493.3880985
101-1000,midday,1s,182,61240,5163279.0,65192339.66615202,-15687086.024206217,80879425.69035822
101-1000,midday,1s,183,67695,5800408.0,58295567.844508335,-15964890.037491968,74260457.88200031
101-1000,midday,1s,184,68639,5635566.0,55099120.62635443,-13448050.954846,68547171.58120042
101-1000,midday,1s,185,75271,6420019.0,66534636.59518829,-25877798.292751756,92412434.88794005
101-1000,midday,30s,120,109156,9806967.0,133004362.59119186,-44495671.995957755,177500034.58714956
